Speed_kmh,Braking_distance_m
20.0,35.0
22.0,34.3
24.1,45.5
26.1,57.5
28.2,49.0
30.2,54.7
32.2,75.2
34.3,75.3
36.3,
38.4,87.5
40.4,86.8
42.4,94.4
44.5,108.4
46.5,99.4
48.6,110.0
50.6,128.2
52.7,134.3
54.7,154.5
56.7,154.7
58.8,161.4
60.8,195.0
62.9,192.9
,206.5
66.9,206.1
69.0,225.6
71.0,243.0
73.1,246.1
75.1,271.2
77.1,276.5
79.2,293.2
81.2,304.5
83.3,339.0
85.3,338.6
87.3,345.0
89.4,376.0
91.4,375.1
93.5,403.1
95.5,401.9
97.6,424.2
99.6,453.2
101.6,474.6
103.7,488.4
105.7,503.8
107.8,521.3
109.8,530.3
111.8,555.1
113.9,577.2
115.9,608.7
118.0,623.7
120.0,626.9
