Fertilizer_kg,Yield_tons
0.0,14.03
2.4,14.85
4.9,18.86
7.3,22.43
9.8,24.11
12.2,27.91
14.7,30.72
17.1,31.18
19.6,37.03
22.0,38.81
24.5,39.57
26.9,42.12
29.4,44.86
31.8,45.66
34.3,47.33
36.7,47.31
39.2,51.07
41.6,51.7
44.1,52.94
46.5,51.65
49.0,56.22
51.4,55.01
53.9,54.83
56.3,58.03
58.8,55.72
61.2,54.05
63.7,55.19
66.1,52.67
68.6,56.26
71.0,53.96
73.5,52.86
75.9,54.21
78.4,49.94
80.8,51.46
83.3,47.04
85.7,47.34
88.2,45.09
90.6,46.62
93.1,45.1
95.5,40.64
98.0,39.86
100.4,36.4
102.9,34.83
105.3,30.72
107.8,26.81
110.2,23.9
112.7,23.46
115.1,22.62
117.6,16.89
120.0,12.57
