Income,Spending_Score,Age,Num_Purchases
41055,1.0,30.2,2
45845,1.0,21.9,3
36444,36.4,23.8,6
35375,28.8,33.1,4
55309,15.2,21.5,2
33932,1.0,18.0,3
32313,26.7,23.4,1
22974,1.0,24.7,3
32848,1.0,40.4,0
35473,2.2,29.0,2
34737,4.6,20.7,3
35851,22.5,18.0,1
23739,2.2,18.3,0
49018,14.9,20.4,1
29364,2.7,25.6,1
33957,6.5,23.6,3
48171,1.0,21.1,1
27501,1.0,35.6,3
45526,1.0,29.5,2
23695,12.1,24.4,1
34698,21.0,25.7,1
36202,13.1,18.0,2
24692,11.0,18.0,3
39414,26.2,34.4,1
33735,18.1,27.3,0
20000,15.2,20.6,0
23525,15.8,18.0,2
28612,1.0,40.8,3
30394,11.2,40.4,2
34231,11.8,23.0,3
38997,15.3,18.5,2
42435,9.3,28.7,1
38041,16.1,28.4,3
43646,14.3,26.2,1
26351,20.5,24.8,4
40452,1.0,28.0,0
36777,5.2,32.5,0
27843,14.1,18.0,4
35658,20.7,21.9,5
46274,25.8,21.9,1
24244,1.0,19.0,0
28857,1.0,18.0,3
33674,1.7,38.9,2
29688,11.7,28.0,2
30859,4.0,28.3,1
85017,36.3,38.0,9
87099,45.8,48.3,7
98668,46.9,38.6,9
91920,43.1,50.6,11
93373,36.3,40.0,5
96542,25.1,45.1,11
90719,41.8,47.5,5
86158,41.3,47.2,2
85793,55.7,44.6,9
91950,34.4,37.3,11
96979,27.5,53.7,11
91572,47.1,44.5,6
101520,24.1,48.4,4
86381,15.8,35.5,6
96083,64.0,44.9,5
87846,39.1,43.9,6
84144,54.0,50.5,7
98396,34.6,52.9,6
91580,29.7,41.8,11
98728,38.9,50.6,9
96985,23.7,41.6,10
89795,51.7,48.3,9
87035,35.3,47.1,6
87925,52.3,48.9,6
78864,43.8,47.6,5
95821,40.5,49.4,6
89354,41.4,47.7,6
98865,29.6,48.7,13
81572,51.1,52.1,7
89486,43.3,46.9,13
93375,29.0,36.4,7
103136,50.1,40.9,6
108019,54.5,34.1,8
96071,42.8,45.6,5
89499,30.1,38.4,8
82246,45.5,56.1,7
91778,44.7,45.8,10
84252,48.9,43.2,8
99981,52.2,54.7,9
97811,51.0,46.8,5
85726,29.0,40.7,5
98248,41.1,47.8,9
106942,30.1,48.8,9
90583,47.8,45.5,7
99816,29.3,39.7,8
54951,33.4,35.5,6
54208,13.1,32.9,5
74719,22.0,31.1,3
59237,30.1,35.3,4
45322,31.0,44.2,1
64750,22.9,43.9,2
50490,20.9,32.8,2
49345,26.6,35.0,6
53971,34.9,32.0,4
45631,19.2,19.5,1
50630,28.9,26.1,0
56466,15.1,34.8,4
51453,16.2,34.0,7
68693,18.9,46.0,2
54293,34.2,43.5,4
64715,29.6,30.9,2
56895,20.5,30.2,4
65390,36.9,39.3,1
62968,17.4,26.5,2
67010,31.4,42.3,3
66644,43.0,39.5,4
59747,14.6,23.2,4
56683,23.4,27.0,10
62304,26.8,27.2,3
58197,18.5,31.8,6
59690,43.1,38.7,5
61627,15.7,42.7,4
51617,37.0,31.3,1
48720,31.5,34.3,2
58356,16.8,22.4,6
42794,37.6,31.7,3
75465,45.6,42.3,5
53638,20.5,39.2,4
62642,16.6,34.2,7
52203,27.6,41.9,4
52566,26.4,24.4,6
53463,38.9,28.3,3
54586,34.0,39.7,2
61128,37.3,34.4,3
53370,34.1,30.2,3
35606,33.8,39.4,1
52749,25.7,38.1,3
61354,12.5,36.8,4
44147,20.7,31.7,4
58430,31.9,36.1,3
117063,64.4,55.4,12
124953,80.6,50.1,15
114175,53.5,45.2,8
120981,76.2,51.9,9
117981,68.8,49.5,12
122390,52.5,47.4,9
129187,69.2,46.0,13
116421,72.8,50.4,8
126822,53.6,56.2,8
112359,64.2,62.4,15
111459,59.2,52.7,13
118502,69.9,57.1,6
140716,63.4,48.2,16
111947,71.4,57.9,12
119055,73.0,49.9,10
126724,65.5,48.6,8
117065,76.2,48.1,14
127986,55.7,52.4,13
119806,48.2,57.1,14
122266,57.4,53.5,10
116200,61.3,61.6,10
124111,61.8,52.1,15
123913,64.1,48.6,14
118938,50.3,56.6,12
119036,54.6,49.5,10
124104,57.4,54.4,14
124922,54.6,54.8,17
122938,78.4,48.7,10
117205,49.5,43.6,15
127602,77.1,49.4,15
118649,60.7,57.0,13
127801,65.0,51.1,12
128008,53.5,39.0,15
118900,69.5,59.7,13
130519,60.8,40.4,7
137367,58.2,50.7,15
124411,53.8,51.2,9
115105,59.6,47.4,12
114460,45.0,54.6,9
117526,52.5,51.9,12
130723,58.4,54.0,6
117447,52.0,56.5,12
120170,52.9,40.9,11
122137,65.1,40.5,16
127160,55.2,50.9,9
