YearsExperience,Salary
5.1,76404.0
11.5,134935.0
9.1,110987.0
7.6,95996.0
2.7,44736.0
2.7,
1.6,38357.0
10.5,128978.0
7.6,98574.0
8.8,101548.0
1.2,37696.0
11.7,134610.0
10.2,119192.0
3.3,58797.0
3.0,57624.0
3.0,57225.0
4.3,62493.0
6.8,88363.0
,81425.0
4.2,68802.0
7.7,96233.0
2.5,48007.0
4.2,60475.0
5.0,67715.0
6.0,85250.0
9.6,121625.0
3.2,55112.0
6.7,92664.0
7.5,97697.0
1.5,36670.0
7.7,99596.0
2.9,58702.0
1.7,41007.0
11.4,139559.0
11.6,124721.0
9.9,122338.0
4.4,67148.0
2.1,43754.0
8.5,106117.0
5.8,72150.0
2.3,45971.0
6.4,87228.0
1.4,44212.0
11.0,127427.0
3.8,57866.0
8.3,101843.0
4.4,70462.0
6.7,89965.0
7.0,89381.0
3.0,55553.0
