YearsExperience,Salary
5.9,84053
14.3,180000
11.1,167171
9.2,128426
2.8,72927
2.8,60400
1.3,31704
13.1,180000
9.2,126083
10.8,166739
0.8,48683
14.6,180000
12.6,180000
3.6,67899
3.1,66492
3.2,77167
4.9,76145
8.1,112210
6.8,93490
4.7,68743
9.4,137150
2.5,56320
4.7,78576
5.8,96400
7.1,105531
11.9,180000
3.4,59742
8.0,142081
9.1,139005
1.2,33861
9.3,126707
3.0,62442
1.4,41272
14.3,180000
14.5,180000
12.2,180000
4.9,70732
1.9,34060
10.4,149245
6.9,110501
2.3,53292
7.7,102254
1.0,41458
13.7,180000
4.3,63691
10.1,149937
5.0,80023
8.0,107313
8.4,126444
3.2,65143
14.6,180000
11.7,180000
14.1,180000
13.5,180000
9.2,139491
13.9,180000
1.8,51431
3.3,95780
1.2,46714
5.2,92036
6.1,101220
4.4,78606
12.5,180000
5.7,94576
4.6,68008
8.4,121092
2.5,48881
12.1,180000
1.6,65855
14.8,180000
11.7,180000
3.4,47609
0.6,32396
12.3,180000
10.7,158624
11.1,154834
11.7,168068
1.6,51140
5.7,81172
2.2,52384
13.0,180000
9.5,133485
5.3,102281
1.4,48989
5.0,61273
5.2,83494
11.1,158577
9.7,150057
13.4,180000
7.3,107033
2.2,54980
10.8,167447
11.5,160347
8.6,123073
11.7,170231
7.7,107586
8.1,134883
6.7,103850
0.9,28000
2.1,57774
1.0,58999
9.7,151678
5.1,66979
7.9,111855
13.7,180000
4.1,63104
6.5,101644
11.5,178121
3.8,57933
1.6,44488
4.7,46914
2.8,46916
14.0,180000
12.2,171805
9.7,157077
13.1,180000
12.2,179075
3.2,61272
13.4,180000
8.3,108883
12.2,180000
13.5,180000
5.1,71820
2.1,53672
3.8,68067
6.7,94804
12.4,180000
13.0,180000
0.6,37665
7.9,122173
6.6,113198
3.7,54085
2.2,69633
5.4,66595
14.2,180000
5.2,87110
8.0,120128
10.7,152441
5.8,87082
14.6,180000
14.5,180000
4.2,78202
7.7,116679
4.9,72117
4.6,83060
1.0,42665
9.3,143661
7.8,120502
1.2,34115
4.5,68808
13.7,180000
4.0,73893
2.6,54015
7.6,113159
14.8,180000
4.0,63075
10.2,155039
11.5,169330
3.9,65374
11.1,174422
5.8,96384
9.7,149707
9.7,154135
8.3,121995
1.8,52933
12.6,180000
5.2,84733
3.2,58924
1.1,41606
9.1,138730
10.3,144322
0.7,56277
7.9,107159
3.8,55348
9.9,155876
3.0,65224
10.5,160467
6.1,98289
14.1,180000
2.5,45174
5.4,84846
2.1,43419
13.9,180000
13.2,180000
4.2,63126
10.1,145661
12.3,180000
8.6,121010
8.2,112996
4.0,70593
1.8,49000
13.5,180000
13.6,180000
9.7,144474
5.4,71131
5.6,73876
11.0,156434
13.5,180000
13.4,180000
11.8,180000
