Area_sqft,Bedrooms,Age_years,Price
1437.0,4,20.2,236600.0
2416.0,2,22.4,326978.0
2044.0,5,8.0,356625.0
1818.0,5,2.8,331845.0
1065.0,3,5.7,226326.0
1065.0,2,10.7,190191.0
899.0,5,20.5,182350.0
2272.0,4,21.5,344892.0
1822.0,4,0.2,320443.0
2004.0,3,12.8,316177.0
835.0,5,10.4,
2449.0,2,5.6,356115.0
2215.0,4,3.0,377507.0
1161.0,5,8.4,250822.0
1109.0,5,23.6,217456.0
1112.0,3,8.1,227414.0
1317.0,4,13.0,240077.0
1692.0,4,17.6,271810.0
1534.0,2,9.1,238764.0
1295.0,4,24.3,210274.0
1840.0,2,24.1,251983.0
1037.0,4,6.3,224569.0
1297.0,3,12.4,228054.0
1423.0,4,7.5,272377.0
1575.0,2,7.1,254904.0
,2,0.9,346028.0
1139.0,3,15.2,199163.0
1674.0,4,12.6,307441.0
1807.0,4,1.3,329245.0
879.0,3,7.0,179623.0
1833.0,4,22.7,275993.0
1090.0,4,6.0,232660.0
911.0,2,3.6,180332.0
2413.0,4,12.2,380872.0
2442.0,4,24.6,357626.0
2174.0,3,6.1,343097.0
1318.0,3,16.8,212786.0
966.0,5,19.0,190801.0
1963.0,2,5.9,300188.0
1548.0,4,18.2,266211.0
1007.0,4,9.2,214153.0
1642.0,5,15.8,280474.0
858.0,4,15.8,182745.0
2346.0,2,13.4,337803.0
1240.0,5,2.3,262129.0
1926.0,2,20.9,270550.0
1330.0,5,8.0,269066.0
1684.0,5,4.7,308536.0
1729.0,3,1.0,303342.0
1114.0,2,14.8,188566.0
2448.0,4,16.9,378624.0
2118.0,4,0.4,371790.0
2397.0,2,12.8,331019.0
2321.0,4,5.7,369617.0
1816.0,4,16.1,299840.0
2367.0,2,4.4,359350.0
950.0,5,17.3,208520.0
1133.0,2,9.7,227382.0
877.0,5,23.4,188007.0
1353.0,4,3.4,274645.0
1461.0,4,8.5,275952.0
1261.0,4,2.8,260931.0
2209.0,3,23.1,311358.0
1406.0,5,21.9,255992.0
1278.0,3,6.4,229377.0
1723.0,3,16.5,266865.0
1040.0,2,20.4,160117.0
2164.0,3,13.9,327535.0
927.0,2,13.2,183357.0
2478.0,2,6.0,350422.0
2113.0,3,2.3,349450.0
1138.0,5,22.4,203858.0
809.0,5,22.5,173305.0
2186.0,5,15.8,364432.0
2002.0,5,8.5,348754.0
2039.0,5,8.7,343658.0
2111.0,3,18.1,306398.0
926.0,3,22.4,166757.0
1409.0,4,22.2,228837.0
997.0,5,19.5,207372.0
