Area_sqft,Bedrooms,Age_years,Price
1506,2,6.5,197361
2422,2,9.5,284630
911,5,14.8,186622
1636,2,6.7,197655
722,4,15.6,140146
1590,2,10.2,194609
807,5,13.8,157342
926,2,10.9,160362
923,4,7.4,170804
1933,1,23.7,198810
2117,5,19.1,247257
1808,1,3.5,235892
2528,1,21.7,269718
1412,1,12.2,208118
1243,3,22.4,153224
2350,3,20.0,272194
1125,1,10.6,149283
2530,5,0.6,372664
723,4,6.7,147909
2543,4,13.5,315307
782,2,15.8,125792
2393,5,6.4,324173
1703,3,3.5,228449
2587,1,20.9,268638
840,2,24.6,123845
1752,4,13.1,217382
2542,3,4.3,317143
1694,3,6.8,217087
1896,1,0.5,257730
2022,4,22.9,216452
1564,5,2.9,238299
1892,3,14.4,241609
1810,1,6.9,244709
2412,5,13.9,307936
786,4,16.3,128336
1234,3,20.7,194830
2506,5,5.2,307645
2392,5,0.3,292121
1566,5,3.4,255570
1878,3,22.5,209873
1227,3,21.8,139942
1057,2,14.9,155345
1581,4,15.0,220583
1371,1,16.6,147211
1809,5,4.4,245889
848,2,22.9,124044
2551,1,10.5,292148
2574,2,9.6,294464
2027,3,13.0,283404
1719,5,1.2,246883
1288,1,4.2,144340
2246,1,18.5,224615
2001,1,2.1,242494
1009,1,15.1,130055
2431,1,6.1,272622
2263,2,9.7,272861
2505,5,7.2,307487
2079,3,8.9,288472
1865,3,18.0,224296
1495,3,7.4,229816
2472,3,14.2,296449
2346,2,11.9,278671
786,4,16.6,148045
750,5,23.4,142188
1415,1,18.3,170054
2240,4,5.4,320004
2576,3,0.8,327817
986,4,6.6,187552
1829,5,14.9,250319
1424,1,1.3,215862
2543,1,12.4,264089
2300,5,14.9,329096
2293,5,8.4,306992
1591,3,19.3,171651
1488,1,2.7,195805
1219,4,1.9,193126
807,2,18.2,128036
2343,2,12.4,257517
2245,5,17.2,279283
2599,3,10.9,274273
2594,2,6.2,296128
1755,1,20.5,143195
2161,5,20.0,245784
2495,4,17.4,312392
2314,5,6.8,326734
1170,4,14.8,185168
1556,5,9.0,219214
945,5,2.3,189776
2513,5,22.9,302450
1852,4,3.4,241969
1134,4,23.8,184951
1976,5,11.2,288352
1874,2,4.6,234772
1381,3,13.5,188378
916,3,21.8,132530
1976,3,18.3,199028
1689,4,20.2,212645
2167,4,16.5,256889
1688,2,17.3,180190
2319,3,21.2,258085
1749,3,6.2,268353
1766,5,12.2,262345
2366,4,5.5,297588
1467,3,24.7,186211
955,2,23.6,142433
755,2,1.0,155568
2135,3,17.6,253218
1879,4,23.1,218280
2038,2,4.5,267078
1105,5,14.2,191497
959,2,22.9,134998
728,1,0.8,136153
1366,1,17.4,174341
1821,4,7.4,243040
1445,3,23.1,200408
1531,4,24.3,198261
2418,4,23.6,317584
1362,4,11.9,188564
1677,4,21.6,244682
2189,5,21.1,278537
1453,5,8.0,216909
1882,2,20.7,201820
2338,1,0.9,271723
2504,4,14.9,311694
979,2,5.8,160976
2461,1,3.0,275068
1635,3,1.9,232466
1191,5,17.4,225385
1572,1,8.5,222135
2562,3,18.1,299663
1636,1,1.6,210224
1325,5,7.9,218815
1903,5,13.5,272528
1156,2,19.8,124769
844,4,8.0,154147
945,1,15.6,90000
943,1,22.1,113991
989,3,15.4,158884
964,5,5.8,177442
1918,1,0.6,266461
1046,5,21.8,143066
1357,1,0.5,158656
2404,2,21.9,262000
1601,4,13.2,240182
1968,1,23.5,231970
1027,5,20.0,158305
1065,2,24.9,144771
778,1,8.8,114376
1021,3,19.2,140327
1229,4,10.0,207660
1036,1,12.0,145561
869,2,15.7,94919
929,3,21.8,156592
1575,2,24.6,199186
1092,2,19.2,126919
1392,3,10.4,201644
1656,2,10.5,216312
2012,3,18.4,243712
775,1,6.0,109919
2219,3,2.8,274675
1893,3,8.9,244355
855,4,7.2,182374
2360,3,7.4,301664
2450,3,5.8,296638
816,1,1.1,146430
1226,4,0.4,157476
2232,5,24.7,293257
2122,1,10.7,208015
1051,1,9.6,133041
1098,5,17.0,158555
1404,3,5.5,181175
1621,2,23.7,201229
1875,4,19.7,227246
1401,2,2.2,204372
1579,5,10.4,235440
2120,1,22.0,227386
770,1,23.6,90000
1180,4,11.7,160946
2055,1,15.3,242617
2401,1,4.2,268647
1672,4,24.8,179181
1711,4,5.8,237398
904,5,23.6,175413
1550,1,16.2,190393
1712,1,15.2,186004
1161,5,12.8,185968
1212,3,5.8,179910
1417,3,4.4,245076
738,3,5.5,148084
1312,5,4.7,228920
1102,1,19.5,145135
1322,5,8.8,219048
928,5,1.4,185977
2392,3,24.2,261145
1828,2,22.1,201591
1990,1,23.2,203619
2199,3,24.9,258182
1647,2,4.3,218660
865,2,9.9,146542
1721,4,19.0,220842
1815,1,17.4,199520
2116,2,3.8,227212
1520,3,20.4,205173
942,4,5.6,178646
1239,1,5.6,182589
1390,5,13.4,160797
1927,3,14.8,275015
1784,2,14.5,209867
1377,2,2.3,215622
2574,3,21.9,267391
1851,2,6.6,243994
1151,4,3.2,177623
893,1,22.2,90647
990,4,23.9,178482
1167,2,21.6,137552
1005,5,20.2,168028
1054,1,16.4,143271
1242,1,13.8,159072
1029,3,2.2,177502
2404,3,10.2,297589
852,5,9.3,212461
1697,1,6.5,205477
1480,5,18.1,216639
2567,3,12.4,321456
913,3,2.0,184034
1456,1,5.5,206786
2542,4,17.1,315207
2344,2,1.9,267685
2252,3,21.3,286001
1190,3,12.4,151095
1025,4,12.0,174222
1970,4,14.8,239933
2466,5,20.6,301035
1758,5,8.7,262267
1786,2,17.0,213854
1232,2,14.1,168254
2162,1,6.7,279376
1055,5,22.0,173788
1315,3,19.9,165710
1508,5,16.5,235913
1664,3,21.3,222150
1161,4,21.7,142138
918,5,17.7,171103
1860,4,20.9,244701
1248,2,17.4,150883
1804,2,17.0,234542
993,1,15.5,120733
1614,5,18.8,226750
1712,4,4.0,245324
798,3,22.0,117490
