CreditScore,Income,LoanAmount,YearsEmployed,Approved
452.0,87003,152038.0,4.2,0
785.0,108211,134862.0,5.1,1
698.0,77733,128834.0,6.6,1
620.0,90318,103848.0,19.9,1
456.0,134953,62921.0,14.2,1
421.0,114474,136141.0,8.3,0
538.0,48664,32677.0,15.0,0
370.0,92172,65609.0,18.4,0
452.0,110616,41024.0,19.2,1
471.0,118264,80313.0,2.1,0
,51736,137813.0,8.5,1
564.0,119209,105285.0,3.0,0
680.0,128041,156410.0,7.4,1
808.0,137859,123632.0,4.2,1
437.0,137181,160580.0,13.3,0
722.0,25854,13051.0,8.4,1
449.0,115084,124692.0,5.4,0
709.0,63623,97235.0,6.1,1
501.0,32392,173165.0,7.8,1
480.0,80680,83523.0,5.9,0
499.0,71717,104476.0,9.6,0
658.0,112092,27019.0,1.6,1
607.0,75859,93613.0,6.3,0
693.0,129095,96672.0,8.8,1
763.0,51309,83847.0,12.5,1
643.0,112455,,6.1,1
735.0,88734,38251.0,3.5,1
541.0,95467,113481.0,2.4,0
793.0,77662,122566.0,18.9,1
626.0,123506,35945.0,8.9,1
510.0,134751,100852.0,12.0,0
809.0,37688,42217.0,18.5,1
663.0,50342,18308.0,2.6,1
371.0,62157,15949.0,17.7,1
602.0,92863,142222.0,11.5,0
585.0,131308,110235.0,4.1,0
694.0,77083,84740.0,8.8,1
398.0,131081,126352.0,15.8,0
408.0,90733,76617.0,10.1,0
519.0,114045,26896.0,19.7,0
537.0,59698,140798.0,8.2,0
813.0,135078,148877.0,15.2,1
620.0,105623,15237.0,8.5,1
539.0,47671,30056.0,16.8,0
795.0,50184,124548.0,11.8,1
524.0,118384,121488.0,2.2,0
795.0,67107,144415.0,1.7,0
400.0,111202,154572.0,3.5,0
713.0,134893,39375.0,1.3,1
404.0,76663,150734.0,2.4,1
593.0,40708,26964.0,14.1,0
669.0,116906,123429.0,11.2,1
480.0,74811,77215.0,15.2,0
656.0,27811,79042.0,18.4,1
484.0,81250,154356.0,12.1,0
370.0,137547,103468.0,14.8,0
678.0,97082,19435.0,15.4,1
516.0,59754,88832.0,8.2,0
623.0,120742,61293.0,5.6,1
737.0,131642,88781.0,4.9,1
438.0,36411,170196.0,5.8,0
665.0,27911,53919.0,6.2,1
363.0,92270,176319.0,4.9,0
591.0,108763,131172.0,17.7,1
614.0,33680,104758.0,15.4,0
695.0,109896,66573.0,1.9,0
402.0,108879,69101.0,6.1,0
735.0,96295,36646.0,1.4,0
689.0,113614,114185.0,10.5,1
441.0,125689,33049.0,10.0,1
716.0,36111,108116.0,16.8,0
793.0,62504,107379.0,6.8,1
804.0,26802,78385.0,16.5,1
777.0,33155,136131.0,19.4,1
613.0,98656,33289.0,2.7,0
780.0,64384,120226.0,16.0,0
384.0,137561,110793.0,12.2,1
555.0,72254,19823.0,10.1,1
430.0,46918,51975.0,9.0,0
769.0,110981,19540.0,15.9,1
399.0,85713,26364.0,13.1,1
709.0,55306,145683.0,16.3,1
737.0,41646,37663.0,18.2,1
351.0,71843,61991.0,12.7,0
739.0,121601,114182.0,19.6,1
403.0,115735,172049.0,12.6,0
455.0,132512,104704.0,13.1,0
609.0,41371,59115.0,11.5,0
659.0,102371,101007.0,2.7,1
540.0,136472,159143.0,14.8,0
751.0,27049,21938.0,11.4,1
567.0,56616,176267.0,9.6,0
393.0,128727,101680.0,18.3,0
511.0,137893,14000.0,6.7,0
551.0,45932,111042.0,10.9,0
795.0,54855,103610.0,14.3,1
619.0,86434,113691.0,16.1,0
700.0,97694,48304.0,9.7,1
653.0,68016,79449.0,17.0,1
620.0,32400,92986.0,15.6,1
805.0,67642,161836.0,2.3,1
811.0,40151,118940.0,1.9,1
564.0,76407,48494.0,12.8,0
601.0,91690,13373.0,7.6,1
539.0,29499,153233.0,5.0,0
645.0,31295,107532.0,12.0,1
562.0,84040,102658.0,7.5,1
557.0,37183,133633.0,11.2,0
586.0,54299,110386.0,9.7,0
687.0,37874,37350.0,12.1,1
716.0,57711,103008.0,8.6,1
402.0,30539,104297.0,14.3,0
629.0,132941,35351.0,4.4,1
759.0,78351,98668.0,14.2,1
566.0,86267,124585.0,8.8,0
601.0,73354,156377.0,17.6,0
537.0,27557,85353.0,10.8,0
729.0,63360,75953.0,19.5,1
390.0,107018,67458.0,12.4,0
