Age,Annual_Income,Spending_Score
22.5,25908,28.2
19.3,21371,32.9
23.2,19075,41.8
27.6,17591,25.9
18.8,15000,23.5
18.8,15000,26.0
27.9,16315,37.3
23.8,28457,32.6
18.0,22749,25.8
22.7,15000,34.1
18.0,22593,30.8
18.0,16919,37.7
21.2,15000,24.4
18.0,24893,27.4
18.0,28248,26.9
18.0,27450,18.3
18.0,15000,32.4
21.6,17526,32.1
18.0,22650,30.0
18.0,27804,28.1
27.3,16167,18.7
18.9,18515,26.6
20.3,15000,27.3
18.0,15000,23.6
18.0,26500,28.7
20.6,30850,33.2
18.0,19424,45.1
21.9,28028,31.4
18.0,22893,32.1
18.5,15000,29.4
18.0,22891,14.6
29.3,32304,29.8
19.9,19713,30.5
18.0,32517,49.7
24.1,15000,28.5
18.0,26575,32.4
21.0,20696,29.7
18.0,17608,20.7
18.0,20734,39.1
21.0,15000,36.0
44.0,72203,22.9
35.5,86297,24.5
47.0,89269,28.7
33.0,73435,28.4
42.9,87707,9.0
51.0,83302,12.5
35.0,86576,24.1
37.2,95174,24.1
40.5,78037,24.1
37.5,73970,50.8
32.2,72884,24.6
40.3,73474,29.1
34.7,79383,27.6
42.4,82729,25.2
35.4,82214,17.5
47.7,86617,26.1
36.1,80104,13.8
38.4,91628,18.1
44.1,77883,16.1
33.8,101761,20.7
41.1,85005,38.5
46.5,73143,5.1
32.0,71433,25.5
40.9,83860,7.1
41.3,78212,16.2
43.9,85712,28.7
33.8,83786,20.5
33.4,79417,11.4
42.6,73226,14.3
41.5,67881,25.4
41.3,76428,14.2
41.7,86851,21.7
36.6,81713,20.4
41.2,70034,14.8
41.5,81385,37.2
36.4,83083,25.1
49.3,72929,3.8
42.4,81230,21.5
34.0,80466,14.7
43.3,70856,26.8
21.0,90908,80.8
24.4,95297,84.8
27.5,102688,73.5
29.3,80097,96.7
19.0,107064,72.0
23.3,74383,70.3
22.6,88786,89.3
21.7,94707,86.3
33.8,92248,85.0
27.0,85018,85.0
18.7,88335,79.9
29.6,86056,72.8
35.6,85285,80.6
30.2,96797,74.6
18.0,92856,87.8
22.6,84457,78.8
31.3,97197,73.4
21.5,92458,77.4
27.2,96503,83.3
28.9,95037,75.5
20.4,83368,73.4
24.7,85519,81.9
18.0,95978,82.0
19.9,94883,75.9
23.7,89833,76.2
18.8,90939,81.9
33.2,100221,68.4
18.0,85267,68.7
22.8,94377,74.3
25.7,88382,78.3
32.2,88259,82.5
18.0,98790,91.8
30.8,96603,86.9
25.1,96508,78.7
20.1,100444,79.8
27.3,90168,72.0
26.0,95456,79.9
22.0,87518,77.7
25.3,92593,82.6
23.1,88959,73.4
57.6,47245,53.1
62.7,55205,49.7
54.5,60042,33.5
57.0,60376,49.3
58.5,56399,39.6
53.0,64983,55.4
56.1,51459,52.9
55.1,58861,42.5
55.5,60962,45.9
51.1,64116,41.5
55.1,65693,49.5
57.5,51003,57.6
62.3,47727,42.1
59.8,70221,54.0
65.8,62659,45.8
51.2,54012,43.7
59.4,72409,49.1
55.9,60925,41.7
65.9,69434,45.6
51.0,60540,40.4
50.8,76486,65.7
52.0,74043,50.3
44.4,58008,44.4
52.4,67773,51.7
51.2,65163,49.1
55.8,70949,48.2
56.7,52281,54.9
64.4,65488,56.1
59.8,68467,45.8
52.1,45930,45.4
50.5,50534,47.8
57.5,43686,31.6
48.4,57845,37.9
64.2,65740,60.9
60.9,72019,63.2
52.7,60593,48.0
46.4,73029,54.6
61.8,48959,52.5
54.4,46373,74.6
61.2,59556,59.0
59.4,15000,72.3
55.2,24347,86.6
52.0,15000,77.0
61.0,24565,67.4
56.2,15000,79.6
52.9,15000,66.7
56.8,15000,53.7
54.6,20385,61.9
68.4,22078,55.0
64.4,15000,67.2
60.0,25109,70.1
67.4,15000,83.4
60.4,19471,72.6
55.7,15000,68.2
67.6,15000,76.6
62.7,20379,52.3
54.8,15000,71.9
59.0,16924,76.2
55.6,28050,58.2
53.1,15385,79.2
64.6,26686,72.7
69.5,15000,66.7
53.0,24238,75.1
62.8,31533,88.2
56.7,15000,71.5
57.6,15000,72.0
57.0,24617,66.3
55.7,18376,63.2
60.2,22969,76.6
55.8,15168,63.2
61.4,20693,70.6
59.7,18755,66.2
58.8,29342,73.8
55.5,22035,72.7
57.1,22701,78.3
63.8,16705,65.9
62.5,16099,67.8
55.1,16540,62.2
60.5,23156,66.4
63.8,16632,73.0
