Age,EstimatedSalary,Purchased
56,115235,1
46,89740,1
32,131352,1
60,81617,0
25,31896,0
38,145798,1
56,20237,0
36,35056,0
40,129548,1
28,126488,1
28,149415,1
41,44375,0
53,31964,0
57,128429,1
41,82215,1
20,84042,1
39,108468,1
19,24435,0
41,93832,0
47,66293,1
55,93781,0
19,58919,0
38,136172,1
50,109758,1
29,71573,0
39,74101,0
42,41646,0
44,119185,1
59,38049,0
45,113116,0
33,112379,1
32,83385,0
20,141131,0
54,38289,0
24,125226,0
38,115793,0
26,24823,0
56,56975,1
35,24540,0
21,31364,0
42,42663,0
31,66991,0
26,119182,0
43,109704,1
19,64115,0
37,106007,1
45,26938,0
24,106680,1
25,19000,0
52,116042,1
31,108610,0
34,118691,1
53,53304,1
57,84449,1
21,97986,0
19,123940,1
23,53494,0
59,18373,0
21,112532,1
46,107658,1
35,138633,1
43,115386,1
51,42350,0
27,108008,0
53,109297,1
31,40351,0
48,103668,1
32,129585,1
25,90353,0
31,80953,0
40,72458,1
57,35358,0
38,18267,1
33,97745,0
35,104588,0
41,53513,0
43,26338,0
42,146484,1
58,22543,0
46,120891,1
32,75692,0
18,59425,0
42,53756,0
24,33888,0
26,62295,0
41,129352,1
18,98042,0
25,100999,1
41,32955,0
28,52841,0
34,85640,0
25,76476,0
52,59811,0
52,86180,1
50,127856,1
22,83450,0
59,126888,1
56,125448,1
58,29397,1
45,146800,1
24,134180,0
26,81234,0
25,54954,0
29,94459,0
51,74163,1
50,66934,0
40,69098,0
41,20486,0
54,101900,0
52,141020,1
57,117795,1
39,102508,0
44,133324,1
52,75566,0
18,42192,0
52,16062,0
54,99076,0
31,104780,0
20,36689,0
18,26174,0
22,103461,0
43,141174,1
31,118033,0
56,24348,0
44,53102,1
26,89460,0
32,117634,1
32,104930,0
43,21801,0
59,118150,1
30,16542,0
49,36677,0
56,54081,1
49,108105,1
21,34065,0
47,103092,0
54,69693,0
40,41962,1
56,43295,1
32,28807,1
60,147396,1
46,106267,1
53,34870,1
30,41790,0
49,133874,1
24,40289,0
39,30485,0
45,59482,0
19,101188,0
59,19748,0
23,18709,0
45,138961,0
45,45355,0
37,57918,0
47,67224,1
28,54298,0
45,95219,0
42,76629,0
56,81040,1
50,43016,0
18,38960,0
44,48591,1
30,118333,1
58,129821,1
20,51395,0
56,144695,1
23,49620,0
25,143148,0
44,35559,0
26,108396,0
54,36732,1
50,106362,1
59,28843,0
41,129065,1
32,86726,0
49,32640,0
49,67528,0
41,53413,0
58,67638,1
29,125133,0
56,121357,1
19,93859,1
20,114657,0
54,26023,1
34,36447,0
19,140899,1
19,38959,0
45,81203,0
40,134156,1
54,24337,0
49,61427,1
50,76529,1
18,117023,0
36,99665,1
19,120787,0
43,48307,0
49,142016,1
23,19835,0
49,35159,1
21,136790,0
28,120616,0
34,93752,0
55,70284,1
41,72043,0
22,112007,1
51,97844,1
23,42532,0
39,137402,0
28,133012,1
33,71178,0
50,64407,1
26,65990,0
23,144473,1
33,73141,0
46,71570,0
20,16015,0
37,76813,0
53,42712,0
36,115497,1
43,127816,1
20,143778,1
36,77292,0
37,38833,0
49,35309,1
24,21970,0
58,87474,1
50,61540,1
57,33017,1
56,90880,1
35,120570,1
57,23702,0
18,146456,0
28,15404,0
45,27763,0
42,113142,1
40,95642,1
48,65612,1
47,38574,0
59,38524,1
52,25916,0
24,19809,0
33,136288,1
43,53765,0
19,60106,0
18,68932,0
29,72091,0
22,36949,0
54,52744,0
49,123319,1
26,107193,1
58,51187,0
52,139454,1
36,29489,0
33,76877,0
20,64922,0
37,109074,1
41,52131,0
50,130765,1
41,88963,1
28,121884,1
25,140917,0
53,39285,0
55,52626,1
57,34198,1
37,30254,0
52,59238,0
42,16252,0
52,54764,0
42,92709,0
46,68682,0
35,74494,0
35,96317,0
19,80215,0
52,93587,1
33,21949,0
58,70393,0
53,40934,0
50,90745,0
21,109456,1
50,68413,1
31,112239,1
38,57318,0
37,85390,0
25,58088,0
24,118196,0
20,70479,0
34,34963,0
50,70123,0
29,140911,0
39,117468,1
39,88477,1
47,29388,0
55,20569,0
55,84836,1
25,119573,0
44,60002,0
44,39071,0
51,73243,1
38,140827,1
47,123215,1
50,116570,1
45,84724,1
50,130359,1
22,90697,0
36,43732,0
21,136465,0
52,72108,1
34,126195,0
45,118081,0
47,51668,0
46,38061,0
23,94252,0
52,54749,1
58,145560,1
54,119680,1
41,66745,0
46,123464,1
48,106865,1
52,127428,1
50,38624,0
38,38321,0
49,37574,0
40,133831,1
50,110257,1
20,79291,0
35,142600,1
42,65428,0
59,146374,1
48,146127,1
20,126317,1
57,142449,1
41,43699,1
49,88686,1
39,82661,0
40,59247,0
19,120113,0
44,19621,0
59,33030,0
19,97838,0
43,99717,1
34,53638,0
57,82067,1
50,133033,1
26,120977,0
60,103869,1
56,120186,1
46,49674,0
59,61271,0
43,88688,1
52,126076,1
42,16062,0
41,65448,1
30,110462,0
24,62915,0
53,19632,1
37,119592,0
18,149668,1
25,124779,0
33,123099,1
31,22561,1
29,97152,0
40,140036,1
32,139049,1
45,41734,0
51,41069,0
19,27910,0
49,88479,1
40,96264,0
39,38275,0
42,87274,0
39,115776,1
39,63447,0
59,141394,1
23,90703,0
32,91090,0
60,32260,0
54,127581,1
50,18812,1
25,131148,0
22,131421,1
