GPA,SAT,Extracurricular_Hours,Attendance_Pct,Admitted
3.49,1357.0,4.9,85.4,1
3.58,,4.5,100.0,1
,1256.0,4.4,90.6,0
3.71,,5.5,90.7,1
2.99,1057.0,3.6,78.0,0
3.11,1294.0,6.7,100.0,1
2.58,1129.0,,90.8,1
1.89,985.0,,94.0,0
3.08,980.0,1.7,83.6,0
3.18,1180.0,5.2,89.9,1
3.42,1218.0,5.7,86.3,1
3.03,1205.0,2.1,,0
2.38,,0.0,83.7,0
3.8,930.0,5.0,85.6,0
2.8,1167.0,2.1,93.1,0
3.52,1210.0,5.6,100.0,1
3.25,1157.0,3.4,98.3,1
2.39,1111.0,2.7,76.6,0
3.4,1185.0,3.2,,1
3.59,1249.0,1.4,90.2,1
,1053.0,2.4,92.6,0
2.61,1125.0,2.7,95.0,0
2.91,1038.0,2.2,91.7,0
3.03,1186.0,1.3,69.8,0
2.51,946.0,2.8,95.0,0
3.1,1237.0,1.7,89.4,1
2.28,837.0,2.3,78.1,0
3.63,1228.0,5.0,90.4,1
2.41,1037.0,2.8,,0
3.37,1169.0,4.7,90.4,1
3.0,,4.2,93.5,0
2.9,1197.0,3.8,98.7,1
3.32,1206.0,5.5,94.2,1
2.52,,2.0,,0
2.51,996.0,,81.7,0
3.87,1247.0,,96.4,1
3.35,1352.0,3.2,90.2,1
2.72,998.0,3.9,81.6,0
3.53,1146.0,5.1,92.8,1
,,6.5,89.5,1
2.87,975.0,2.7,84.2,0
2.91,1039.0,0.6,84.7,0
2.81,1272.0,4.2,95.3,1
2.57,1237.0,2.6,79.1,0
4.0,1218.0,3.5,88.8,1
3.53,1324.0,,100.0,1
2.95,907.0,3.2,72.7,0
2.57,1038.0,,81.3,0
3.85,1192.0,,97.4,1
2.76,956.0,0.6,76.5,0
,1145.0,4.1,84.8,0
3.13,1108.0,2.6,96.1,1
,1169.0,3.3,91.9,1
2.4,1056.0,4.1,83.6,0
3.01,937.0,1.7,83.8,0
2.79,843.0,,87.2,0
3.78,1222.0,3.4,92.1,1
,992.0,0.6,90.9,0
2.8,890.0,5.3,84.9,0
2.43,1050.0,2.1,82.2,0
2.09,1044.0,,77.5,0
2.59,1155.0,3.9,94.5,0
3.5,1362.0,4.9,94.9,1
2.89,1035.0,2.5,88.0,0
2.95,931.0,3.6,77.6,0
3.61,1183.0,5.3,91.1,1
3.62,1191.0,3.3,88.0,1
3.29,,5.5,92.6,1
2.77,1233.0,0.2,91.4,0
2.44,1218.0,5.0,80.2,0
3.22,1099.0,5.0,,0
2.9,1057.0,1.6,80.0,0
2.41,1357.0,1.7,69.3,0
2.22,1202.0,3.3,74.0,0
2.82,1004.0,6.4,83.5,0
3.22,,5.4,92.8,1
3.47,1145.0,8.0,96.2,1
2.36,879.0,3.6,84.0,0
2.85,1116.0,2.0,73.4,0
4.0,1226.0,6.3,88.0,1
3.05,963.0,2.5,76.5,0
2.91,,0.0,,0
2.81,1114.0,0.4,,0
3.09,1221.0,,94.7,1
3.01,1306.0,7.7,,1
,1293.0,4.3,94.0,1
3.21,,4.0,94.1,1
3.36,1177.0,7.1,93.8,1
2.31,1121.0,1.6,79.5,0
3.46,1166.0,6.1,94.4,1
2.89,1212.0,2.1,73.8,0
2.37,1177.0,1.7,94.6,0
2.44,1070.0,0.0,81.6,0
3.67,1106.0,6.9,88.4,1
3.41,962.0,1.6,77.4,0
2.74,1268.0,2.6,81.9,0
2.24,944.0,2.2,83.9,0
2.71,953.0,,77.5,0
4.0,1408.0,4.6,91.2,1
2.8,1276.0,7.3,91.6,1
2.47,,2.3,83.8,0
3.47,1281.0,,94.3,1
3.69,1289.0,3.3,96.5,1
